                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6758,                 1.6236,                  1.544,                0.55148,                0.59621,                0.55867,                0.27362,                  1.852,                 1.6318,                 1.7173,              0.0004878,              0.0004878,              0.0004878
                     34,                  1.675,                  1.581,                 1.5591,                0.57715,                0.59812,                0.61376,                0.29633,                 1.8369,                 1.5121,                 1.6831,             0.00048074,             0.00048074,             0.00048074
                     35,                 1.6802,                 1.5688,                 1.5494,                0.56507,                0.62156,                0.61781,                0.30767,                 1.7833,                 1.4497,                 1.6253,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.6449,                 1.5496,                 1.5388,                0.59353,                0.61758,                0.63627,                0.31809,                 1.7986,                 1.4242,                 1.6254,              0.0004666,              0.0004666,              0.0004666
                     37,                  1.647,                 1.5211,                 1.5221,                0.61188,                0.64509,                0.63811,                0.30956,                 1.8199,                 1.4513,                 1.6347,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.6493,                 1.5399,                 1.5469,                0.64839,                0.63092,                0.64157,                 0.3211,                 1.7907,                 1.3897,                 1.6292,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.6294,                 1.5194,                 1.5242,                0.62444,                0.66345,                0.67674,                0.33713,                 1.7786,                 1.3313,                 1.6165,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.6621,                  1.531,                  1.531,                0.61558,                0.67874,                0.67208,                0.33566,                 1.7777,                 1.3703,                 1.6246,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.6266,                 1.5259,                 1.5221,                0.64605,                0.66356,                0.67709,                0.33812,                 1.7895,                 1.3689,                 1.6379,             0.00043126,             0.00043126,             0.00043126
                     42,                 1.6247,                 1.4901,                 1.5362,                0.63547,                0.66924,                0.67884,                0.34026,                 1.7735,                 1.3734,                 1.6223,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.6377,                  1.491,                 1.5236,                0.64445,                0.66814,                0.67598,                0.34285,                 1.7426,                 1.3485,                 1.6042,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.6256,                 1.4626,                 1.5197,                0.65238,                0.67893,                 0.6883,                0.35129,                 1.7498,                 1.3833,                 1.6043,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.6112,                  1.489,                 1.5288,                 0.6386,                0.66665,                0.67687,                 0.3386,                 1.7571,                 1.3703,                 1.6034,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.6029,                 1.4755,                 1.5159,                 0.6146,                0.69548,                0.68599,                0.35054,                 1.7151,                 1.3197,                  1.576,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.6087,                 1.4381,                 1.4997,                0.66012,                0.69231,                0.69679,                0.35515,                   1.72,                 1.3147,                 1.5859,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.6075,                 1.4441,                 1.5113,                0.68175,                0.65744,                0.68528,                0.35058,                 1.7601,                 1.3104,                 1.6118,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.6051,                 1.4215,                 1.4926,                0.64631,                0.69128,                0.69829,                0.35496,                 1.7423,                 1.3159,                 1.6097,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.5864,                 1.4036,                 1.5075,                0.60878,                0.69988,                0.69004,                0.35901,                 1.7201,                  1.308,                  1.582,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.5933,                 1.4247,                 1.5058,                0.62669,                0.67836,                0.70051,                0.36281,                 1.7111,                  1.325,                 1.5603,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.5977,                 1.4083,                 1.5104,                0.67971,                0.68783,                0.71811,                0.37279,                 1.6911,                 1.2637,                 1.5532,              0.0003535,              0.0003535,              0.0003535
                     53,                  1.583,                 1.4246,                 1.5035,                0.70026,                0.65477,                0.71904,                0.37297,                  1.701,                 1.2671,                 1.5649,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.5701,                 1.3794,                 1.4855,                0.67247,                 0.7066,                0.72723,                0.37665,                 1.7255,                  1.251,                 1.5768,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.5738,                 1.4003,                 1.4872,                0.69978,                 0.6958,                0.73346,                0.38055,                 1.7231,                 1.2375,                 1.5712,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.5831,                 1.3847,                 1.4884,                0.69882,                0.71715,                0.75041,                0.39678,                 1.7043,                 1.1993,                 1.5661,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.5488,                 1.3322,                 1.4725,                0.67868,                0.72495,                 0.7491,                0.39177,                  1.701,                 1.2032,                 1.5497,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.5365,                 1.3303,                 1.4548,                 0.7109,                0.71809,                0.76372,                0.40747,                 1.6565,                 1.1817,                  1.544,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.5595,                 1.3556,                 1.4805,                0.69068,                0.73077,                 0.7638,                0.40052,                 1.6696,                  1.179,                 1.5515,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.5476,                 1.3708,                 1.4806,                0.70341,                0.73681,                0.75065,                0.40971,                  1.632,                 1.1854,                 1.5189,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.5393,                 1.3381,                 1.4701,                0.68991,                 0.7343,                0.76451,                0.41941,                 1.6226,                 1.1988,                 1.5214,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.5318,                 1.3183,                 1.4527,                0.70673,                0.75255,                0.76991,                 0.4216,                 1.6243,                 1.1623,                 1.5285,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.5305,                 1.3178,                 1.4571,                0.70619,                0.74747,                0.74687,                0.41142,                 1.6314,                 1.1827,                 1.5284,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.5259,                 1.3019,                 1.4492,                 0.7143,                0.75607,                0.77188,                0.42396,                 1.6211,                 1.1538,                 1.5268,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.5104,                   1.29,                  1.448,                0.69816,                0.76462,                0.76959,                0.42061,                 1.6264,                 1.1437,                 1.5181,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.5337,                 1.3122,                 1.4505,                0.72546,                0.72892,                 0.7731,                0.42247,                 1.6125,                 1.1474,                 1.5081,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.4972,                 1.2865,                 1.4364,                 0.7291,                0.74864,                0.77781,                0.42763,                 1.6018,                 1.1323,                 1.5058,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.5158,                 1.2793,                 1.4483,                0.74747,                0.77514,                 0.8088,                0.44491,                 1.6104,                 1.0853,                  1.495,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.4884,                 1.2792,                 1.4376,                0.72411,                0.79434,                0.79676,                0.44294,                 1.5986,                 1.0918,                 1.4944,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.4844,                 1.2562,                 1.4236,                 0.7217,                0.78187,                0.78586,                0.44249,                  1.593,                 1.1077,                 1.4892,             0.00022627,             0.00022627,             0.00022627
